Date,Daily_Demand,Actual_Consumption,Prophet_Prediction,SARIMAX_Prediction,Anomaly_Flag,Day_of_Week
2006-12-16,7.706,20.152933333333333,20.152933333333333,20.152933333333333,,Saturday
2006-12-17,7.064,56.507666666666665,56.507666666666665,56.507666666666665,,Sunday
2006-12-18,6.158,36.73043333333333,36.73043333333333,36.73043333333333,,Monday
2006-12-19,7.84,27.7699,27.7699,27.7699,,Tuesday
2006-12-20,5.988,37.095800000000004,37.095800000000004,37.095800000000004,,Wednesday
2006-12-21,5.854,28.610400000000002,28.610400000000002,28.610400000000002,,Thursday
2006-12-22,7.884,39.0223,39.0223,39.0223,,Friday
2006-12-23,8.698,79.55643333333335,79.55643333333335,79.55643333333335,79.55643333333335,Saturday
2006-12-24,6.824,42.5002,42.5002,42.5002,,Sunday
2006-12-25,6.702,45.718666666666664,45.718666666666664,45.718666666666664,,Monday
2006-12-26,6.496,65.5685,65.5685,65.5685,65.5685,Tuesday
2006-12-27,5.56,25.479333333333333,25.479333333333333,25.479333333333333,,Wednesday
2006-12-28,9.132,34.54396666666666,34.54396666666666,34.54396666666666,,Thursday
2006-12-29,7.238,52.90653333333333,52.90653333333333,52.90653333333333,,Friday
2006-12-30,9.078,46.48836666666667,46.48836666666667,46.48836666666667,,Saturday
2006-12-31,6.722,58.236599999999996,58.236599999999996,58.236599999999996,58.236599999999996,Sunday
2007-01-01,3.558,45.81673333333333,45.81673333333333,45.81673333333333,,Monday
2007-01-02,3.688,21.153933333333335,21.153933333333335,21.153933333333335,,Tuesday
2007-01-03,5.19,16.9009,16.9009,16.9009,,Wednesday
2007-01-04,5.976,54.32353333333333,54.32353333333333,54.32353333333333,,Thursday
2007-01-05,5.73,45.22273333333333,45.22273333333333,45.22273333333333,,Friday
2007-01-06,8.044,25.139633333333332,25.139633333333332,25.139633333333332,,Saturday
2007-01-07,7.774,40.79366666666667,40.79366666666667,40.79366666666667,,Sunday
2007-01-08,4.97,37.356,37.356,37.356,,Monday
2007-01-09,8.67,31.1509,31.1509,31.1509,,Tuesday
2007-01-10,6.836,35.913333333333334,35.913333333333334,35.913333333333334,,Wednesday
2007-01-11,7.754,37.58656666666666,37.58656666666666,37.58656666666666,,Thursday
2007-01-12,6.478,24.354933333333335,24.354933333333335,24.354933333333335,,Friday
2007-01-13,9.272,53.113566666666664,53.113566666666664,53.113566666666664,,Saturday
2007-01-14,7.64,50.130266666666664,50.130266666666664,50.130266666666664,,Sunday
2007-01-15,5.896,35.811299999999996,35.811299999999996,35.811299999999996,,Monday
2007-01-16,5.57,28.106733333333334,28.106733333333334,28.106733333333334,,Tuesday
2007-01-17,8.0,47.46146666666667,47.46146666666667,47.46146666666667,,Wednesday
2007-01-18,6.808,30.3577,30.3577,30.3577,,Thursday
2007-01-19,6.132,24.674,24.674,24.674,,Friday
2007-01-20,8.658,52.22886666666667,52.22886666666667,52.22886666666667,,Saturday
2007-01-21,8.018,56.7877,56.7877,56.7877,56.7877,Sunday
2007-01-22,7.722,36.34156666666667,36.34156666666667,36.34156666666667,,Monday
2007-01-23,6.036,29.627333333333336,29.627333333333336,29.627333333333336,,Tuesday
2007-01-24,7.248,49.79756666666666,49.79756666666666,49.79756666666666,,Wednesday
2007-01-25,5.832,26.605733333333333,26.605733333333333,26.605733333333333,,Thursday
2007-01-26,5.024,26.9662,26.9662,26.9662,,Friday
2007-01-27,6.204,34.06786666666667,34.06786666666667,34.06786666666667,,Saturday
2007-01-28,7.552,51.503400000000006,51.503400000000006,51.503400000000006,,Sunday
2007-01-29,4.908,33.0444,33.0444,33.0444,,Monday
2007-01-30,6.166,28.4633,28.4633,28.4633,,Tuesday
2007-01-31,6.59,39.39586666666666,39.39586666666666,39.39586666666666,,Wednesday
2007-02-01,7.482,30.412666666666667,30.412666666666667,30.412666666666667,,Thursday
2007-02-02,5.448,27.7956,27.7956,27.7956,,Friday
2007-02-03,7.904,67.16203333333334,67.16203333333334,67.16203333333334,67.16203333333334,Saturday
2007-02-04,7.698,59.93233333333333,59.93233333333333,59.93233333333333,59.93233333333333,Sunday
2007-02-05,5.816,27.421333333333333,27.421333333333333,27.421333333333333,,Monday
2007-02-06,4.816,21.224666666666668,21.224666666666668,21.224666666666668,,Tuesday
2007-02-07,6.694,38.8003,38.8003,38.8003,,Wednesday
2007-02-08,5.58,30.023566666666667,30.023566666666667,30.023566666666667,,Thursday
2007-02-09,6.146,27.003300000000003,27.003300000000003,27.003300000000003,,Friday
2007-02-10,6.88,47.15546666666667,47.15546666666667,47.15546666666667,,Saturday
2007-02-11,7.426,59.52046666666667,59.52046666666667,59.52046666666667,59.52046666666667,Sunday
2007-02-12,6.514,31.293499999999998,31.293499999999998,31.293499999999998,,Monday
2007-02-13,4.972,23.575766666666667,23.575766666666667,23.575766666666667,,Tuesday
2007-02-14,6.008,41.644533333333335,41.644533333333335,41.644533333333335,,Wednesday
2007-02-15,7.234,33.0891,33.0891,33.0891,,Thursday
2007-02-16,6.316,28.375466666666668,28.375466666666668,28.375466666666668,,Friday
2007-02-17,7.33,34.615199999999994,34.615199999999994,34.615199999999994,,Saturday
2007-02-18,7.16,63.82936666666667,63.82936666666667,63.82936666666667,63.82936666666667,Sunday
2007-02-19,7.682,36.44356666666667,36.44356666666667,36.44356666666667,,Monday
2007-02-20,8.374,52.498799999999996,52.498799999999996,52.498799999999996,,Tuesday
2007-02-21,8.974,34.5479,34.5479,34.5479,,Wednesday
2007-02-22,9.41,56.15796666666667,56.15796666666667,56.15796666666667,,Thursday
2007-02-23,5.468,21.891333333333332,21.891333333333332,21.891333333333332,,Friday
2007-02-24,2.464,11.915366666666667,11.915366666666667,11.915366666666667,,Saturday
2007-02-25,1.536,8.362333333333334,8.362333333333334,8.362333333333334,,Sunday
2007-02-26,1.558,9.474733333333335,9.474733333333335,9.474733333333335,,Monday
2007-02-27,1.47,8.6352,8.6352,8.6352,,Tuesday
2007-02-28,1.486,8.679566666666666,8.679566666666666,8.679566666666666,,Wednesday
2007-03-01,1.472,8.626066666666667,8.626066666666667,8.626066666666667,,Thursday
2007-03-02,1.468,8.5948,8.5948,8.5948,,Friday
2007-03-03,4.242,13.652033333333332,13.652033333333332,13.652033333333332,,Saturday
2007-03-04,10.67,34.845,34.845,34.845,,Sunday
2007-03-05,9.486,44.33886666666667,44.33886666666667,44.33886666666667,,Monday
2007-03-06,6.508,20.775,20.775,20.775,,Tuesday
2007-03-07,5.98,39.58676666666667,39.58676666666667,39.58676666666667,,Wednesday
2007-03-08,6.354,26.2022,26.2022,26.2022,,Thursday
2007-03-09,5.444,21.2102,21.2102,21.2102,,Friday
2007-03-10,6.35,41.41186666666667,41.41186666666667,41.41186666666667,,Saturday
2007-03-11,7.142,58.0106,58.0106,58.0106,58.0106,Sunday
2007-03-12,6.078,32.51113333333333,32.51113333333333,32.51113333333333,,Monday
2007-03-13,5.77,21.5024,21.5024,21.5024,,Tuesday
2007-03-14,6.114,29.889400000000002,29.889400000000002,29.889400000000002,,Wednesday
2007-03-15,4.574,31.413566666666668,31.413566666666668,31.413566666666668,,Thursday
2007-03-16,5.342,28.36756666666667,28.36756666666667,28.36756666666667,,Friday
2007-03-17,5.642,33.8015,33.8015,33.8015,,Saturday
2007-03-18,7.994,39.51743333333333,39.51743333333333,39.51743333333333,,Sunday
2007-03-19,7.452,35.8753,35.8753,35.8753,,Monday
2007-03-20,6.55,34.77046666666667,34.77046666666667,34.77046666666667,,Tuesday
2007-03-21,5.88,35.70153333333334,35.70153333333334,35.70153333333334,,Wednesday
2007-03-22,5.744,24.249633333333335,24.249633333333335,24.249633333333335,,Thursday
2007-03-23,4.314,21.8168,21.8168,21.8168,,Friday
2007-03-24,7.186,49.47383333333333,49.47383333333333,49.47383333333333,,Saturday
2007-03-25,7.918,55.602066666666666,55.602066666666666,55.602066666666666,,Sunday
2007-03-26,5.804,23.601366666666667,23.601366666666667,23.601366666666667,,Monday
2007-03-27,5.938,18.419,18.419,18.419,,Tuesday
2007-03-28,6.714,38.8983,38.8983,38.8983,,Wednesday
2007-03-29,6.49,26.506766666666667,26.506766666666667,26.506766666666667,,Thursday
2007-03-30,5.098,23.373233333333335,23.373233333333335,23.373233333333335,,Friday
2007-03-31,7.098,58.49183333333334,58.49183333333334,58.49183333333334,58.49183333333334,Saturday
2007-04-01,8.16,46.43253333333333,46.43253333333333,46.43253333333333,,Sunday
2007-04-02,6.338,32.679633333333335,32.679633333333335,32.679633333333335,,Monday
2007-04-03,7.928,27.380333333333333,27.380333333333333,27.380333333333333,,Tuesday
2007-04-04,6.266,34.1978,34.1978,34.1978,,Wednesday
2007-04-05,8.102,30.73463333333333,30.73463333333333,30.73463333333333,,Thursday
2007-04-06,5.812,26.68566666666667,26.68566666666667,26.68566666666667,,Friday
2007-04-07,5.44,25.898733333333332,25.898733333333332,25.898733333333332,,Saturday
2007-04-08,3.598,26.8136,26.8136,26.8136,,Sunday
2007-04-09,3.766,16.682,16.682,16.682,,Monday
2007-04-10,3.076,12.956066666666667,12.956066666666667,12.956066666666667,,Tuesday
2007-04-11,2.906,14.791366666666667,14.791366666666667,14.791366666666667,,Wednesday
2007-04-12,1.542,8.961766666666668,8.961766666666668,8.961766666666668,,Thursday
2007-04-13,1.466,9.1837,9.1837,9.1837,,Friday
2007-04-14,1.526,9.2378,9.2378,9.2378,,Saturday
2007-04-15,3.906,12.102733333333333,12.102733333333333,12.102733333333333,,Sunday
2007-04-16,6.026,15.873166666666666,15.873166666666666,15.873166666666666,,Monday
2007-04-17,6.41,20.395566666666664,20.395566666666664,20.395566666666664,,Tuesday
2007-04-18,6.054,16.637433333333334,16.637433333333334,16.637433333333334,,Wednesday
2007-04-19,5.798,17.144299999999998,17.144299999999998,17.144299999999998,,Thursday
2007-04-20,5.814,13.709666666666667,13.709666666666667,13.709666666666667,,Friday
2007-04-21,7.336,27.894266666666667,27.894266666666667,27.894266666666667,,Saturday
2007-04-22,6.958,37.228566666666666,37.228566666666666,37.228566666666666,,Sunday
2007-04-23,4.676,17.5761,17.5761,17.5761,,Monday
2007-04-24,5.638,17.201666666666664,17.201666666666664,17.201666666666664,,Tuesday
2007-04-25,4.602,21.069366666666667,21.069366666666667,21.069366666666667,,Wednesday
2007-04-26,5.394,21.257766666666665,21.257766666666665,21.257766666666665,,Thursday
2007-04-27,4.658,18.23886666666667,18.23886666666667,18.23886666666667,,Friday
2007-04-28,1.478,0.3789666666666667,0.3789666666666667,0.3789666666666667,,Saturday
2007-04-29,,0.0,0.0,0.0,,Sunday
2007-04-30,3.966,7.0137,7.0137,7.0137,,Monday
2007-05-01,6.096,27.730966666666667,27.730966666666667,27.730966666666667,,Tuesday
2007-05-02,5.76,16.724766666666667,16.724766666666667,16.724766666666667,,Wednesday
2007-05-03,4.712,18.170633333333335,18.170633333333335,18.170633333333335,,Thursday
2007-05-04,5.702,16.635466666666666,16.635466666666666,16.635466666666666,,Friday
2007-05-05,5.642,26.050866666666664,26.050866666666664,26.050866666666664,,Saturday
2007-05-06,6.126,35.035066666666665,35.035066666666665,35.035066666666665,,Sunday
2007-05-07,7.572,27.3944,27.3944,27.3944,,Monday
2007-05-08,7.672,29.82153333333333,29.82153333333333,29.82153333333333,,Tuesday
2007-05-09,6.356,27.76226666666667,27.76226666666667,27.76226666666667,,Wednesday
2007-05-10,4.276,11.798066666666667,11.798066666666667,11.798066666666667,,Thursday
2007-05-11,4.724,16.319233333333333,16.319233333333333,16.319233333333333,,Friday
2007-05-12,7.172,24.0261,24.0261,24.0261,,Saturday
2007-05-13,5.562,27.245633333333334,27.245633333333334,27.245633333333334,,Sunday
2007-05-14,5.62,24.463033333333332,24.463033333333332,24.463033333333332,,Monday
2007-05-15,4.228,15.073200000000002,15.073200000000002,15.073200000000002,,Tuesday
2007-05-16,5.64,28.215733333333333,28.215733333333333,28.215733333333333,,Wednesday
2007-05-17,5.81,20.530266666666666,20.530266666666666,20.530266666666666,,Thursday
2007-05-18,6.126,27.192166666666665,27.192166666666665,27.192166666666665,,Friday
2007-05-19,4.524,23.824033333333333,23.824033333333333,23.824033333333333,,Saturday
2007-05-20,5.344,32.80546666666667,32.80546666666667,32.80546666666667,,Sunday
2007-05-21,4.572,18.6677,18.6677,18.6677,,Monday
2007-05-22,5.328,18.88086666666667,18.88086666666667,18.88086666666667,,Tuesday
2007-05-23,5.432,24.415599999999998,24.415599999999998,24.415599999999998,,Wednesday
2007-05-24,5.462,19.2398,19.2398,19.2398,,Thursday
2007-05-25,6.98,26.903666666666666,26.903666666666666,26.903666666666666,,Friday
2007-05-26,4.974,25.204133333333335,25.204133333333335,25.204133333333335,,Saturday
2007-05-27,6.776,35.8968,35.8968,35.8968,,Sunday
2007-05-28,5.798,27.291133333333335,27.291133333333335,27.291133333333335,,Monday
2007-05-29,4.226,17.689,17.689,17.689,,Tuesday
2007-05-30,6.124,26.8311,26.8311,26.8311,,Wednesday
2007-05-31,4.5,15.6425,15.6425,15.6425,,Thursday
2007-06-01,5.354,17.4153,17.4153,17.4153,,Friday
2007-06-02,6.602,24.73936666666667,24.73936666666667,24.73936666666667,,Saturday
2007-06-03,6.79,35.133766666666666,35.133766666666666,35.133766666666666,,Sunday
2007-06-04,4.452,15.193633333333334,15.193633333333334,15.193633333333334,,Monday
2007-06-05,5.518,24.314866666666667,24.314866666666667,24.314866666666667,,Tuesday
2007-06-06,5.326,28.2273,28.2273,28.2273,,Wednesday
2007-06-07,3.682,16.4167,16.4167,16.4167,,Thursday
2007-06-08,7.614,35.80076666666666,35.80076666666666,35.80076666666666,,Friday
2007-06-09,4.548,17.663566666666668,17.663566666666668,17.663566666666668,,Saturday
2007-06-10,5.842,22.346866666666664,22.346866666666664,22.346866666666664,,Sunday
2007-06-11,5.044,13.244233333333334,13.244233333333334,13.244233333333334,,Monday
2007-06-12,6.092,15.312766666666667,15.312766666666667,15.312766666666667,,Tuesday
2007-06-13,4.652,15.454533333333334,15.454533333333334,15.454533333333334,,Wednesday
2007-06-14,6.476,20.984733333333335,20.984733333333335,20.984733333333335,,Thursday
2007-06-15,5.376,16.4934,16.4934,16.4934,,Friday
2007-06-16,4.928,33.62936666666666,33.62936666666666,33.62936666666666,,Saturday
2007-06-17,6.436,32.451499999999996,32.451499999999996,32.451499999999996,,Sunday
2007-06-18,4.638,11.3079,11.3079,11.3079,,Monday
2007-06-19,5.202,14.039333333333333,14.039333333333333,14.039333333333333,,Tuesday
2007-06-20,6.496,17.904766666666667,17.904766666666667,17.904766666666667,,Wednesday
2007-06-21,6.522,13.4491,13.4491,13.4491,,Thursday
2007-06-22,4.22,9.438233333333333,9.438233333333333,9.438233333333333,,Friday
2007-06-23,2.926,7.959433333333334,7.959433333333334,7.959433333333334,,Saturday
2007-06-24,3.34,11.910933333333332,11.910933333333332,11.910933333333332,,Sunday
2007-06-25,7.164,17.870033333333332,17.870033333333332,17.870033333333332,,Monday
2007-06-26,7.29,15.748466666666667,15.748466666666667,15.748466666666667,,Tuesday
2007-06-27,7.436,24.680433333333333,24.680433333333333,24.680433333333333,,Wednesday
2007-06-28,6.2,21.590633333333336,21.590633333333336,21.590633333333336,,Thursday
2007-06-29,5.188,21.736633333333334,21.736633333333334,21.736633333333334,,Friday
2007-06-30,6.376,22.255233333333333,22.255233333333333,22.255233333333333,,Saturday
2007-07-01,2.966,17.111066666666666,17.111066666666666,17.111066666666666,,Sunday
2007-07-02,6.694,16.1172,16.1172,16.1172,,Monday
2007-07-03,6.702,17.665200000000002,17.665200000000002,17.665200000000002,,Tuesday
2007-07-04,5.346,16.723499999999998,16.723499999999998,16.723499999999998,,Wednesday
2007-07-05,5.564,17.6215,17.6215,17.6215,,Thursday
2007-07-06,7.24,17.825400000000002,17.825400000000002,17.825400000000002,,Friday
2007-07-07,6.962,22.636766666666666,22.636766666666666,22.636766666666666,,Saturday
2007-07-08,6.17,18.151333333333334,18.151333333333334,18.151333333333334,,Sunday
2007-07-09,5.914,19.6693,19.6693,19.6693,,Monday
2007-07-10,6.284,15.138733333333333,15.138733333333333,15.138733333333333,,Tuesday
2007-07-11,4.166,12.0392,12.0392,12.0392,,Wednesday
2007-07-12,5.822,17.82636666666667,17.82636666666667,17.82636666666667,,Thursday
2007-07-13,5.456,13.2397,13.2397,13.2397,,Friday
2007-07-14,4.874,21.4695,21.4695,21.4695,,Saturday
2007-07-15,3.71,15.283733333333334,15.283733333333334,15.283733333333334,,Sunday
2007-07-16,4.35,14.2279,14.2279,14.2279,,Monday
2007-07-17,3.67,11.993866666666666,11.993866666666666,11.993866666666666,,Tuesday
2007-07-18,5.104,12.618033333333333,12.618033333333333,12.618033333333333,,Wednesday
2007-07-19,4.222,11.2981,11.2981,11.2981,,Thursday
2007-07-20,5.686,18.507033333333332,18.507033333333332,18.507033333333332,,Friday
2007-07-21,4.724,17.6708,17.6708,17.6708,,Saturday
2007-07-22,6.596,22.92956666666667,22.92956666666667,22.92956666666667,,Sunday
2007-07-23,5.518,16.51696666666667,16.51696666666667,16.51696666666667,,Monday
2007-07-24,3.052,13.754733333333332,13.754733333333332,13.754733333333332,,Tuesday
2007-07-25,3.946,7.876,7.876,7.876,,Wednesday
2007-07-26,5.476,15.408333333333333,15.408333333333333,15.408333333333333,,Thursday
2007-07-27,4.608,20.0419,20.0419,20.0419,,Friday
2007-07-28,5.802,27.031033333333333,27.031033333333333,27.031033333333333,,Saturday
2007-07-29,1.298,5.351933333333333,5.351933333333333,5.351933333333333,,Sunday
2007-07-30,4.1,7.780266666666666,7.780266666666666,7.780266666666666,,Monday
2007-07-31,3.848,13.538866666666667,13.538866666666667,13.538866666666667,,Tuesday
2007-08-01,3.71,17.6723,17.6723,17.6723,,Wednesday
2007-08-02,3.596,16.990266666666667,16.990266666666667,16.990266666666667,,Thursday
